top_k,accuracy_top1,accuracy_topk,precision_top1,precision_topk,recall_top1,recall_topk,f1_top1,f1_topk,mrr,map,ndcg_at_5,hits_at_1,hits_at_3,hits_at_5,hits_at_10,mean_taxonomy_distance,chapter_recall_top1,heading_recall_top1,chapter_recall_topk,heading_recall_topk,weighted_hs_accuracy,expected_calibration_error,configuration
5,0.71,0.808,0.71,0.808,0.71,0.808,0.71,0.808,0.756,0.756,0.769,0.71,0.798,0.808,0.812,0.692,0.804,0.794,0.814,0.812,0.7545,0.288,BM25 (baseline)
5,0.794,0.814,0.794,0.814,0.794,0.814,0.794,0.814,0.804,0.804,0.8066,0.794,0.814,0.814,0.814,0.582,0.814,0.81,0.814,0.814,0.803,0.5958,Vector (baseline)
5,0.736,0.81,0.736,0.81,0.736,0.81,0.736,0.81,0.7711,0.7711,0.7808,0.736,0.806,0.81,0.814,0.66,0.81,0.794,0.814,0.812,0.769,0.468,Hybrid α=0.6 (existing)
5,0.73,0.78,0.73,0.78,0.73,0.78,0.73,0.78,0.7538,0.7538,0.7585,0.73,0.77,0.78,0.798,0.734,0.79,0.746,0.798,0.78,0.749,0.4732,Hierarchical (no enrichment)
5,0.7,0.764,0.7,0.764,0.7,0.764,0.7,0.764,0.7281,0.7281,0.7351,0.7,0.75,0.764,0.782,0.808,0.774,0.718,0.784,0.764,0.723,0.5031,Hierarchical + Ontology Enrichment
5,0.7,0.764,0.7,0.764,0.7,0.764,0.7,0.764,0.7281,0.7281,0.7351,0.7,0.75,0.764,0.782,0.808,0.774,0.718,0.784,0.764,0.723,0.5031,Full System (all contributions)
